file_name;future_predicion;seed;seq_length;epochs;batch_size;learning_rate;patience;verbose;standard_scaler;validation_avg_mae;validation_avg_rmse;validation_avg_mape;validation_avg_tfe;future_predictions_mae_nov_dec_2019;future_predictions_rmse_nov_dec_2019;future_predictions_mape_nov_dec_2019;future_predictions_tfe_nov_dec_2019
20240712-1735-LSTM_v8v4_feb_tfe2_0.3721.csv.metrics.json;FALSO;52;3;150;1;0,0001;10;0;1;4,464096604;8,689453983;222,5606585;0,372090044;4,464096604;9,780431076;222,5606585;0,322513154
20240712-1814-LSTM_v8v4_feb_tfe2_0.4484.csv.metrics.json;FALSO;52;6;150;1;0,0001;10;0;1;4,515514802;9,49439119;243,0262433;0,448403738;4,515514802;10,38586151;243,0262433;0,328573809
20240712-1943-LSTM_v8v4_feb_tfe2_0.436.csv.metrics.json;FALSO;52;3;150;16;0,0001;10;0;1;5,110143178;11,19867608;259,0417547;0,436002648;5,110143178;13,43171955;259,0417547;0,368161167
20240712-1948-LSTM_v8v4_feb_tfe2_0.4551.csv.metrics.json;FALSO;52;6;150;16;0,0001;10;0;1;4,272023467;8,670827283;312,2948644;0,455078405;4,272023467;9,430504617;312,2948644;0,310714361
20240712-1954-LSTM_v8v4_feb_tfe2_0.39.csv.metrics.json;FALSO;52;12;150;16;0,0001;10;0;1;4,560125923;10,93613023;159,4710011;0,389974522;4,560125923;13,01285645;159,4710011;0,337258392
20240712-1957-LSTM_v8v4_feb_tfe2_0.7451.csv.metrics.json;FALSO;52;3;150;16;0,001;10;0;1;9,038129524;16,62314528;470,0044416;0,745141646;9,038129524;20,9064535;470,0044416;0,65022452
20240712-2009-LSTM_v8v4_feb_tfe2_0.4822.csv.metrics.json;FALSO;52;3;150;32;0,0001;10;0;1;5,985156426;12,16783272;370,6086245;0,482233709;5,985156426;14,58394986;370,6086245;0,430770485
20240712-2013-LSTM_v8v4_feb_tfe2_0.466.csv.metrics.json;FALSO;52;6;150;32;0,0001;10;0;1;4,460408022;9,45169193;315,9746949;0,466032547;4,460408022;10,50936882;315,9746949;0,325045459
20240712-2017-LSTM_v8v4_feb_tfe2_0.3616.csv.metrics.json;FALSO;52;12;150;32;0,0001;10;0;1;4,34656721;10,0545001;136,9061604;0,361641963;4,34656721;11,64992778;136,9061604;0,320693991
20240712-2019-LSTM_v8v4_feb_tfe2_0.4202.csv.metrics.json;FALSO;52;3;150;32;0,001;10;0;1;4,918427631;9,376002357;523,5569146;0,420191801;4,918427631;10,42921078;523,5569146;0,355171937
20240712-2038-LSTM_v8v4_feb_tfe2_0.4822.csv.metrics.json;FALSO;52;3;150;32;0,0001;10;0;1;5,985156426;12,16783272;370,6086245;0,482233709;5,985156426;14,58394986;370,6086245;0,430770485
20240712-2041-LSTM_v8v4_feb_tfe2_0.466.csv.metrics.json;FALSO;52;6;150;32;0,0001;10;0;1;4,460408022;9,45169193;315,9746949;0,466032547;4,460408022;10,50936882;315,9746949;0,325045459
20240712-2045-LSTM_v8v4_feb_tfe2_0.3616.csv.metrics.json;FALSO;52;12;150;32;0,0001;10;0;1;4,34656721;10,0545001;136,9061604;0,361641963;4,34656721;11,64992778;136,9061604;0,320693991
20240712-2048-LSTM_v8v4_feb_tfe2_0.4202.csv.metrics.json;FALSO;52;3;150;32;0,001;10;0;1;4,918427631;9,376002357;523,5569146;0,420191801;4,918427631;10,42921078;523,5569146;0,355171937
20240712-2104-LSTM_v8v4_feb_tfe2_0.4822.csv.metrics.json;FALSO;52;3;150;32;0,0001;10;0;1;5,985156426;12,16783272;370,6086245;0,482233709;5,985156426;14,58394986;370,6086245;0,430770485
20240712-2107-LSTM_v8v4_feb_tfe2_0.466.csv.metrics.json;FALSO;52;6;150;32;0,0001;10;0;1;4,460408022;9,45169193;315,9746949;0,466032547;4,460408022;10,50936882;315,9746949;0,325045459
20240712-2111-LSTM_v8v4_feb_tfe2_0.3616.csv.metrics.json;FALSO;52;12;150;32;0,0001;10;0;1;4,34656721;10,0545001;136,9061604;0,361641963;4,34656721;11,64992778;136,9061604;0,320693991
20240712-2113-LSTM_v8v4_feb_tfe2_1.042.csv.metrics.json;FALSO;52;3;150;64;0,0001;10;0;1;9,982766975;20,3565579;1348,112236;1,0420479;9,982766975;26,18791768;1348,112236;0,718966218
20240712-2116-LSTM_v8v4_feb_tfe2_0.4616.csv.metrics.json;FALSO;52;6;150;64;0,0001;10;0;1;4,555357253;9,42671177;305,0426628;0,461633088;4,555357253;10,39459944;305,0426628;0,331007173
20240712-2118-LSTM_v8v4_feb_tfe2_0.3833.csv.metrics.json;FALSO;52;12;150;64;0,0001;10;0;1;4,465555424;10,29817783;169,7629338;0,383258834;4,465555424;11,90895539;169,7629338;0,329929742
20240712-2121-LSTM_v8v4_feb_tfe2_0.4211.csv.metrics.json;FALSO;52;3;100;32;0,0001;10;0;1;4,79903941;10,78841064;257,3548089;0,421096557;4,79903941;12,67882812;257,3548089;0,34486019
20240712-2124-LSTM_v8v4_feb_tfe2_0.4513.csv.metrics.json;FALSO;52;6;100;32;0,0001;10;0;1;4,227381351;8,657799009;311,5075903;0,451251544;4,227381351;9,501561815;311,5075903;0,307591462
20240712-2130-LSTM_v8v4_feb_tfe2_0.3959.csv.metrics.json;FALSO;52;12;100;32;0,0001;10;0;1;4,514967818;10,08233178;150,8963919;0,395905123;4,514967818;11,48458181;150,8963919;0,334093317
20240712-2131-LSTM_v8v4_feb_tfe2_0.4558.csv.metrics.json;FALSO;52;3;100;64;0,0001;10;0;1;5,413915727;11,57833797;261,9705162;0,455811667;5,413915727;13,84875632;261,9705162;0,389342275
20240712-2134-LSTM_v8v4_feb_tfe2_0.4577.csv.metrics.json;FALSO;52;6;100;64;0,0001;10;0;1;4,603359988;9,996729983;303,6992288;0,457743117;4,603359988;11,12825822;303,6992288;0,33508336
20240712-2137-LSTM_v8v4_feb_tfe2_0.4193.csv.metrics.json;FALSO;52;12;100;64;0,0001;10;0;1;4,73532819;10,9427508;165,2886237;0,419308325;4,73532819;12,7558238;165,2886237;0,349499024
20240712-2140-LSTM_v8v4_feb_tfe2_0.3911.csv.metrics.json;FALSO;52;3;50;32;0,0001;10;0;1;4,403841482;8,635312323;284,3856429;0,39113516;4,403841482;9,665794658;284,3856429;0,316568903
20240712-2143-LSTM_v8v4_feb_tfe2_0.4463.csv.metrics.json;FALSO;52;6;50;32;0,0001;10;0;1;4,327755667;9,153737971;306,2402707;0,446278963;4,327755667;10,15219408;306,2402707;0,315121107
20240712-2148-LSTM_v8v4_feb_tfe2_0.3934.csv.metrics.json;FALSO;52;12;50;32;0,0001;10;0;1;4,652025504;10,60952931;151,219002;0,393430528;4,652025504;12,25669329;151,219002;0,344148129
20240712-2149-LSTM_v8v4_feb_tfe2_1.2095.csv.metrics.json;FALSO;52;3;50;64;0,0001;10;0;1;10,96474212;23,44531908;1400,467122;1,209455076;10,96474212;29,76412921;1400,467122;0,78933707
20240712-2152-LSTM_v8v4_feb_tfe2_0.4664.csv.metrics.json;FALSO;52;6;50;64;0,0001;10;0;1;4,527770104;9,484707438;322,3096983;0,466369645;4,527770104;10,46089064;322,3096983;0,329856016
20240712-2155-LSTM_v8v4_feb_tfe2_0.3938.csv.metrics.json;FALSO;52;12;50;64;0,0001;10;0;1;4,515583552;10,22002828;162,1038427;0,393775163;4,515583552;11,69256718;162,1038427;0,334721256
20240712-2157-LSTM_v8v4_feb_tfe2_0.3751.csv.metrics.json;FALSO;52;3;20;32;0,0001;10;0;1;4,227263118;8,574225905;249,0747522;0,375074496;4,227263118;9,592579861;249,0747522;0,304072461
20240712-2200-LSTM_v8v4_feb_tfe2_0.4456.csv.metrics.json;FALSO;52;6;20;32;0,0001;10;0;1;4,406953797;9,514904622;297,7580122;0,445630598;4,406953797;10,66243532;297,7580122;0,320783283
20240712-2204-LSTM_v8v4_feb_tfe2_0.395.csv.metrics.json;FALSO;52;12;20;32;0,0001;10;0;1;4,387869022;9,670827662;150,7558741;0,395032408;4,387869022;10,86907843;150,7558741;0,324512029
20240712-2205-LSTM_v8v4_feb_tfe2_0.9794.csv.metrics.json;FALSO;52;3;20;64;0,0001;10;0;1;9,387617064;14,10288198;1028,530156;0,979405343;9,387617064;16,20950278;1028,530156;0,67637187
20240712-2207-LSTM_v8v4_feb_tfe2_0.4725.csv.metrics.json;FALSO;52;6;20;64;0,0001;10;0;1;4,557100485;9,474332417;326,9481142;0,472450755;4,557100485;10,42108363;326,9481142;0,330648199
20240712-2210-LSTM_v8v4_feb_tfe2_0.4115.csv.metrics.json;FALSO;52;12;20;64;0,0001;10;0;1;4,656690526;10,91878586;154,4597604;0,411470193;4,656690526;12,72368083;154,4597604;0,346426897
20240712-2213-LSTM_v8v4_feb_tfe2_0.2795.csv.metrics.json;FALSO;52;3;150;32;0,0001;10;0;0;3,571090154;8,803146661;111,9623554;0,279528326;3,571090154;10,04818951;111,9623554;0,257089326
20240712-2217-LSTM_v8v4_feb_tfe2_0.2745.csv.metrics.json;FALSO;52;6;150;32;0,0001;10;0;0;3,436329183;8,051677022;113,8478774;0,274465845;3,436329183;9,199100352;113,8478774;0,250997628
20240712-2223-LSTM_v8v4_feb_tfe2_0.2793.csv.metrics.json;FALSO;52;12;150;32;0,0001;10;0;0;3,49116545;9,121925256;101,2204032;0,279318472;3,49116545;10,67711068;101,2204032;0,256834954
20240712-2225-LSTM_v8v4_feb_tfe2_0.2927.csv.metrics.json;FALSO;52;3;150;64;0,0001;10;0;0;3,884175837;9,472872244;109,9445366;0,292695223;3,884175837;10,82194653;109,9445366;0,280752531
20240712-2229-LSTM_v8v4_feb_tfe2_0.2766.csv.metrics.json;FALSO;52;6;150;64;0,0001;10;0;0;3,428465606;8,130451374;116,803407;0,276604861;3,428465606;9,168790852;116,803407;0,24989775
20240712-2232-LSTM_v8v4_feb_tfe2_0.2904.csv.metrics.json;FALSO;52;12;150;64;0,0001;10;0;0;3,679448551;8,714957463;103,4987333;0,290412639;3,679448551;9,946835806;103,4987333;0,271051379
20240712-2235-LSTM_v8v4_feb_tfe2_0.2745.csv.metrics.json;FALSO;52;3;100;32;0,0001;10;0;0;3,472329685;8,404923641;111,051945;0,274498794;3,472329685;9,547825382;111,051945;0,250562323
20240712-2240-LSTM_v8v4_feb_tfe2_0.2723.csv.metrics.json;FALSO;52;6;100;32;0,0001;10;0;0;3,351406221;8,133114658;111,7826048;0,272315849;3,351406221;9,231542871;111,7826048;0,244245382
20240712-2246-LSTM_v8v4_feb_tfe2_0.285.csv.metrics.json;FALSO;52;12;100;32;0,0001;10;0;0;3,554206848;9,078992173;107,9924988;0,284952862;3,554206848;10,63698182;107,9924988;0,262845232
20240712-2248-LSTM_v8v4_feb_tfe2_0.2807.csv.metrics.json;FALSO;52;3;100;64;0,0001;10;0;0;3,664972761;8,629823454;108,9423985;0,280692655;3,664972761;9,778988655;108,9423985;0,26424831
20240712-2251-LSTM_v8v4_feb_tfe2_0.274.csv.metrics.json;FALSO;52;6;100;64;0,0001;10;0;0;3,383252107;8,048728921;116,9423632;0,273978782;3,383252107;9,089095492;116,9423632;0,246385168
20240712-2254-LSTM_v8v4_feb_tfe2_0.2998.csv.metrics.json;FALSO;52;12;100;64;0,0001;10;0;0;3,870971629;9,4382314;95,36966095;0,299828721;3,870971629;10,88842622;95,36966095;0,284556397
20240712-2257-LSTM_v8v4_feb_tfe2_0.2659.csv.metrics.json;FALSO;52;3;50;32;0,0001;10;0;0;3,317300455;7,878135131;113,0663669;0,265857493;3,317300455;8,878550316;113,0663669;0,238597355
20240712-2301-LSTM_v8v4_feb_tfe2_0.2869.csv.metrics.json;FALSO;52;6;50;32;0,0001;10;0;0;3,646562268;8,731004529;121,2727022;0,286861296;3,646562268;10,04731821;121,2727022;0,266118176
20240712-2307-LSTM_v8v4_feb_tfe2_0.2761.csv.metrics.json;FALSO;52;12;50;32;0,0001;10;0;0;3,376822883;8,527745606;101,4157324;0,276142301;3,376822883;9,841164196;101,4157324;0,248190589
20240712-2308-LSTM_v8v4_feb_tfe2_0.2991.csv.metrics.json;FALSO;52;3;50;64;0,0001;10;0;0;4,040948264;9,198695558;123,3814779;0,299139192;4,040948264;10,4660851;123,3814779;0,291409827
20240712-2311-LSTM_v8v4_feb_tfe2_0.3171.csv.metrics.json;FALSO;52;6;50;64;0,0001;10;0;0;4,320285052;8,954229784;132,2936431;0,317134591;4,320285052;10,14430648;132,2936431;0,314369228
20240712-2315-LSTM_v8v4_feb_tfe2_0.3113.csv.metrics.json;FALSO;52;12;50;64;0,0001;10;0;0;4,077088111;9,828610676;108,1363017;0,311282739;4,077088111;11,34954337;108,1363017;0,299753501
20240712-2317-LSTM_v8v4_feb_tfe2_0.2691.csv.metrics.json;FALSO;52;3;20;32;0,0001;10;0;0;3,367390218;7,786031571;142,2717167;0,269082564;3,367390218;8,758124915;142,2717167;0,243562081
20240712-2320-LSTM_v8v4_feb_tfe2_0.2829.csv.metrics.json;FALSO;52;6;20;32;0,0001;10;0;0;3,559790303;8,442991308;119,7250444;0,282940436;3,559790303;9,602975012;119,7250444;0,259926049
20240712-2323-LSTM_v8v4_feb_tfe2_0.2807.csv.metrics.json;FALSO;52;12;20;32;0,0001;10;0;0;3,523509652;8,900396168;104,2722752;0,28066688;3,523509652;10,37422871;104,2722752;0,259482352
20240712-2325-LSTM_v8v4_feb_tfe2_0.2844.csv.metrics.json;FALSO;52;3;20;64;0,0001;10;0;0;3,6930848;9,16097587;115,6254016;0,284401833;3,6930848;10,51597308;115,6254016;0,266537334
20240712-2327-LSTM_v8v4_feb_tfe2_0.2952.csv.metrics.json;FALSO;52;6;20;64;0,0001;10;0;0;3,77219592;8,320988902;123,8491774;0,295212763;3,77219592;9,399422549;123,8491774;0,276041205
20240712-2330-LSTM_v8v4_feb_tfe2_0.3151.csv.metrics.json;FALSO;52;12;20;64;0,0001;10;0;0;4,152840597;9,666121395;114,6902701;0,315053852;4,152840597;11,22383519;114,6902701;0,304884583
20240713-1333-LSTM_v8v4_feb_tfe2_0.5415.csv.metrics.json;FALSO;14;3;50;32;0,0001;10;0;1;6,349970955;13,19085875;299,8395098;0,541486838;6,349970955;15,99967532;299,8395098;0,4560165
20240713-1336-LSTM_v8v4_feb_tfe2_0.4516.csv.metrics.json;FALSO;14;6;50;32;0,0001;10;0;1;4,480531071;9,442519786;307,1754374;0,451586611;4,480531071;10,40494213;307,1754374;0,325480059
20240713-1338-LSTM_v8v4_feb_tfe2_0.4416.csv.metrics.json;FALSO;14;3;50;64;0,0001;10;0;1;5,322824016;10,99518311;250,3719653;0,441551654;5,322824016;12,78792487;250,3719653;0,38230677
20240713-1341-LSTM_v8v4_feb_tfe2_0.472.csv.metrics.json;FALSO;14;6;50;64;0,0001;10;0;1;4,559136395;9,515516259;328,4900628;0,471994725;4,559136395;10,53389743;328,4900628;0,330972641
20240713-1343-LSTM_v8v4_feb_tfe2_0.62.csv.metrics.json;FALSO;14;3;20;32;0,0001;10;0;1;6,242508014;12,21145499;252,2451307;0,620031059;6,242508014;13,31468785;252,2451307;0,448547411
20240713-1346-LSTM_v8v4_feb_tfe2_0.4592.csv.metrics.json;FALSO;14;6;20;32;0,0001;10;0;1;4,31935697;9,071871131;313,6216789;0,459177809;4,31935697;10,00244754;313,6216789;0,313601739
20240713-1348-LSTM_v8v4_feb_tfe2_0.5395.csv.metrics.json;FALSO;14;3;20;64;0,0001;10;0;1;6,329704036;12,55439551;321,6123927;0,539508613;6,329704036;14,74437897;321,6123927;0,455267692
20240713-1350-LSTM_v8v4_feb_tfe2_0.4757.csv.metrics.json;FALSO;14;6;20;64;0,0001;10;0;1;4,563735399;9,607466946;327,2858778;0,475695793;4,563735399;10,60952131;327,2858778;0,331970426
20240713-1352-LSTM_v8v4_feb_tfe2_0.268.csv.metrics.json;FALSO;14;3;50;32;0,0001;10;0;0;3,391134392;7,88950877;118,3332776;0,268043988;3,391134392;8,891878644;118,3332776;0,244493068
